tweet_id_str,date_time,location,tweet_text,media_urls
1907092398431510754,Tue Apr 01 15:27:14 +0000 2025,Fascist Regime,"must watch kunal kamra , another stand comedian brutally trolled bjp demonetization done common people , buy mlas another burn l moment bjp cell amp rw ecosystem",
1903892256891052215,Sun Mar 23 19:31:01 +0000 2025,,"modi bhakts cell destroyed top class humour stand kunal kamra shaken entire bjp , filing firs left right this. watch deleted",
1907089741432180745,Tue Apr 01 15:16:41 +0000 2025,K'tka,"devesh dixit , stand comedian came another nightmare bjp rw ecosystem demonetization done common man , done buy mlas watch amp spread gem.",
1907337838401646625,Wed Apr 02 07:42:31 +0000 2025,K'tka,"devesh dixit , stand comedian taking bjp cleaners demonetization done common man buy mlas vandalize venue ?",
1858545925326856373,Mon Nov 18 16:20:53 +0000 2024,India,"samay raina , best stand comedian india right now.",
1824051127937040670,Thu Aug 15 11:50:52 +0000 2024,"Thane, India",stand comedian atul khatri praises bmc uddhav thackeray govt covid handling mumbai ... two see latest stand,
1903906865857114318,Sun Mar 23 20:29:04 +0000 2025,"Scotland, United Kingdom","kunal kamra stand comedian exposed truths government comedy. result , bjp supporters went studio created chaos. india still democratic country ? #kunalkamra #democracy #freedomofspeech",
1870635118051877364,Sun Dec 22 00:59:01 +0000 2024,"California, USA","gurpatwant singh pannu , upcoming standup comedian republic khalistan ! disclaimer purely entertainment purposes. get ready laughs ! seems gurpatwant singh pannu overtaken neetu shatran wala world standup comedy ! competing kapil sharma though sadly , visit india. perhaps sony entertainment television netflix brace threats near future ! secret hideout , pannu recently released two hilarious video clips. one , offers 25k information whereabouts public appearances indian ambassador shri vinay kwatra russian high commissioner canada. real joke diplomats schedules events already publicly announced ! well respected figures , educated , responsible. seems pannu looking way stay spotlight. second statement , pannu hilariously claimed russia supplying chemical grenades india used farmers agitation , ones used ukraine war. threatened india chemical minister , according , amit shah. unfortunately , actual chemical minister jp nadda , shah. looks like pannu scriptwriter needs fired mix ! think pannu spends much time twitter , checking pictures leaders. , let share findings recent trip punjab. old farmer shambu border told pannu ever sets foot punjab , love pull ponytail spreading false propaganda attempts hijack farmers agitation. visited pannu village , khankot amritsar district elderly locals shared supposedly lost mental balance years ago inhaling carbon monoxide retrieving something motor well. , began claiming would one day become president uganda buy kenya ! villagers tried desi remedies , nothing worked , eventually , taken chandigarh treatment. chandigarh , one pannu classmates told take seriously , struggling mental health issues years. according friends , people diaspora think brave , reality , never even raised stick dog. record , disagree friends one harm animals ! back california , respectable sikh gentleman san jose shared pannu seek mental health treatment. baseless laughable statements ny safe house damaging reputation sikhs globally. locally , even heard pannu daily comedic rants becoming major setback khalistan cause ! please check short video clip attached. record longer one keep laughing behind curtain ! lastly , offer sincere apologies neetu shatran wala case comments hurt feelings. sat sri akal sukhi chahal fair fearless voice truth sikh activist champion united united progressive peaceful location san jose , california , usa follow twitter",
1908990373512233219,Sun Apr 06 21:09:07 +0000 2025,"Dharamshala, Himachal Pradesh","karunesh talwar one best stand comedians come across. jokes hit hard belly aches laughter. hindi aati hai , ye jo shlok padhaa hai na aapne .. #standup #comedy #karuneshtalwar",
1469990123416678402,Sun Dec 12 11:18:51 +0000 2021,North Korea,guy biggest meme creater stand comedian world right now. pure new kind comedy.bjp ' star campaigner arrived make yogi ji win election.,
1845958536343265433,Mon Oct 14 22:43:05 +0000 2024,,arnav goswami exposes us democrats rahul gandhi. arnav monologues best.,
1894310550277915117,Tue Feb 25 08:56:44 +0000 2025,,"big news muslim comedian zakir khan praised clean comedy. ranveer allahabadia slammed senseless demeaning comedy. ranveer allahabadia , samay raina , apurva mukhija crossed line india ' got latent show. several cases registered .",
1908571366175236238,Sat Apr 05 17:24:07 +0000 2025,K'tka,"1. 45 mints comedy video kunal kamra shaken bjp ecosystem shinde supporters vandalised comedy show venue mumbai. firs lodged , threats given",
1069939466683514880,Tue Dec 04 13:00:22 +0000 2018,"Gurgaon, India",rahul gandhi currently best stand comedian,
1777414219425534086,Mon Apr 08 19:12:27 +0000 2024,"Calcutta, India. ",irony amp sarcasm stand comedy exposes hollowness modi ' promises .... #acchedinnaukribin,
1775848304531984757,Thu Apr 04 11:30:04 +0000 2024,"New Delhi, India","india #standupcomedy ecosystem used entirely dominated wokes qaumreds. slowly , h right breaking doors bastion too.",
1330362697196703744,Sun Nov 22 04:09:18 +0000 2020,India ,#kapilsharma overrated comedian propelled salman ' khan pr agencies. best stand comedian raju srivastava truly original,
1222415740407410688,Wed Jan 29 07:06:38 +0000 2020,BHARAT ,star campaigner bjp back. best stand comedian india,
1245917106886955008,Fri Apr 03 03:32:40 +0000 2020,India,"always felt comedians india like rajeev nigam , etc know politics updated news compared #arnabgoswami . dont shout like mads front tv like #arnabgoswami does. agree ? #mediapandemic",
1753411396262588445,Fri Feb 02 13:33:48 +0000 2024,Happy Place,exclusive 2.13 seconds live comedy favourite .. legend political comedy,
1306338762671058945,Wed Sep 16 21:06:46 +0000 2020,India,"lol ! ! ' stop laughing #arnabgoswami best comedian right india ! ! bark behind #salmankhan ' , post.",
1792767935666356270,Tue May 21 04:02:38 +0000 2024,New Delhi,"tuesday humour watch ! great joy elections meet range people. last night varanasi , met stand comedian whose nomination papers rejected highly specious grounds. asked shyam mimic major netas narendra modi rahul gandhi others would react breaking news nomination denial. followed bit fun ! #electionsonmyplate watch",
1909796981683216410,Wed Apr 09 02:34:17 +0000 2025,noida india ,#standup #kunalkamara #kunalkamracontroversy #politicaljoke #politicalsatire,
1464196953307181061,Fri Nov 26 11:38:51 +0000 2021," New Delhi, India","bengaluru easily india best funnies far ! danish sait aiyyo shraddha , ramesh srivats parody politician manjunath. witty , rooted , contextual forced profanity ! ! pun maniacs another bengalurean vaidehi moorthy.",
1460661164002582534,Tue Nov 16 17:28:53 +0000 2021,New Delhi & Thiruvananthapuram,"stand comedian knows real meaning term stand physical moral spoke millions 6 minute take two indias hails amp stands for. joke , ' funny. brilliant .",
1122892341742854144,Mon Apr 29 15:56:11 +0000 2019,India,"rahul gandhi known india ' best known stand comedian mr venkatesh , political analyst #conginsultsaamaadmi",
1014735333521489920,Thu Jul 05 04:58:51 +0000 2018,"Mumbai, India","new stand bit talk little modiji , jaitley sahab , arnab goswami others. watch , rt like it. link",
1795427921060155621,Tue May 28 12:12:28 +0000 2024,Bharat,best comedian year award goes ramesh jairam ramesh already crossed 272 amp win 350 seats. india govt next week,
1478727285683281923,Wed Jan 05 13:57:12 +0000 2022,"Boston, MA",comedians cancel stand shows due public outrage. 1. munawar faroqqi 2. kunal kamra 3. narendra modi,
1346092351857463301,Mon Jan 04 13:53:20 +0000 2021,India,#trendingtonight bigger problem. living country one ' crack joke politicians political satirist akash banerjee,
1284179208327925760,Fri Jul 17 17:32:36 +0000 2020,"Bengaluru, India","funny standup comedian called gangavati pranesh. standup kannada decades. 1000s attend. ages caste class. never reduced comedy religion , caste political bickering. something dilli mumbai based comedians need learn.",
981380460046618625,Wed Apr 04 03:58:29 +0000 2018,Himalayas,"almost 40 yrs ago , satirist sharad joshi wrote biography congress. whether love congress hate , make see truth like nothing else. also textbook lesson standup comedians political satire done. pl share make popular.",
1174300437429645317,Wed Sep 18 12:33:36 +0000 2019,,let ' declare stand comedy 04th pillar democracy replace journalists stand comedians like . video credits full video link,
1271819621985849346,Sat Jun 13 15:00:01 +0000 2020,India,stand comic ' dissection india ' obsession fairness skin deep.,
1874450202775740553,Wed Jan 01 13:38:48 +0000 2025,The Sun,"' stand comedian tamilnadu , apologising making fun congress amp manmohan singh .. congress promotes freedom speech amp fights dictatorship pm modi ..",
1397529176127598604,Wed May 26 12:24:55 +0000 2021,"Bengaluru South, India",kejriwal replaced rahul gandhi best comedian india,
1751082007323640007,Sat Jan 27 03:17:38 +0000 2024,India,"congress pick specimens ? seem roll conveyor belt mani shankar , randeep surjewala , khera , supriya , jairam , ria , lavanya led master comedian himself.",
1910214914339127576,Thu Apr 10 06:15:00 +0000 2025,,laugh loud indian stand ups keeping free speech debates alive harsh sharma,
839697770902507520,Thu Mar 09 04:42:04 +0000 2017,India,u must watch patriotism amp government stand comedy kunal kamra,
1689164897639141376,Wed Aug 09 06:41:09 +0000 2023,New Jersey,stand comedy show started lok sabha enjoy show,
1777680157320614183,Tue Apr 09 12:49:11 +0000 2024,,"vulgar jokes disrespect anyone nonsense. ' pure acting lovely comedy. matter many comedians may come go. jethalal dilip joshi remains second best comedian country , followed kapil sharma 3rd position.",
1909178954386112665,Mon Apr 07 09:38:28 +0000 2025,"Pune, MH, India",guys brilliant #politicalcomedy,
1572689139484753921,Wed Sep 21 20:48:04 +0000 2022,"Bengaluru, India","raju srivastava , kapil sharma , sunil pal , ahsaan qureshi , jaspal bhatti institutions real comedy ... modern day stand comedians rely cuss words amp sexual innenduos generate laugh largely sexually deprived desperate audience ... ogs ogs",
1894338325000958137,Tue Feb 25 10:47:06 +0000 2025,"Mumbai, India",best stand amp sit comedian india rahul gandhi charlie chaplin star silent era raga beat even mime watch blissfully unaware mike guy natural,
1904201039022260237,Mon Mar 24 15:58:00 +0000 2025,Nepal-Mumbai,"best entertaining political comedy special year far ... , dropping truth bombs style ... watch gets removed ! #nayabharat",
1629895332518854658,Sun Feb 26 17:25:03 +0000 2023,"New Delhi, India",abhishek upmanyu vipul goyal two standup comedians able continually maintain quality humor since beginning career till .,
1904085925489148409,Mon Mar 24 08:20:35 +0000 2025,Gokuldham society,"jab raju srivastava , zakir khan , sunil pal , ashish solanki , pratyush chaubey , sreeja chaturvedi , ravi gupta many bina kisi controversy se badhiya comedy kar sakte hain toh baaki log kyun nahi ? accept karo ki talent kamm hai toh controversy karke famous hona hai bahaane mat bhai !",
988276007995092992,Mon Apr 23 04:38:56 +0000 2018,Worldwide,' jokes politics india stand comedy kenny sebastian via,
